T1: 1 56, 3 8, 5 18, 7 12, 9 12, 11 45, 13 8, 15 3, 17 6, 19 21, 21 3, 23 5, 25 3, 27 18, 29 40, 31 30, 34 30, 36 1, 38 6, 40 77, 42 5, 44 7, 46 7, 48 21, 50 45, 52 30, 54 8, 56 20, 58 6, 60 40, 62 3, 64 4, 66 4, 68 56, 70 10, 72 48, 74 7
T505: 1 7, 3 36, 5 30, 7 3, 9 8, 12 2, 14 5, 16 27, 17 30, 20 6, 21 9, 23 50, 25 8, 28 10, 29 32, 31 9, 34 42, 36 6, 38 4, 40 88, 42 1, 44 5, 47 21, 48 42, 50 15, 52 42, 55 8, 56 28, 58 3, 60 36, 62 5, 64 36, 66 36, 68 49, 70 8, 72 60, 74 5
T506: 1 42, 3 24, 5 27, 7 27, 9 16, 11 35, 14 2, 15 27, 17 15, 19 30, 21 8, 23 25, 25 9, 28 4, 29 36, 31 27, 34 12, 36 5, 38 5, 40 77, 42 2, 44 3, 46 6, 48 70, 51 8, 52 12, 55 8, 56 24, 58 4, 60 20, 62 8, 64 20, 66 8, 68 42, 70 14, 72 24, 74 6
T507: 1 21, 3 28, 5 3, 7 6, 9 10, 11 20, 14 5, 15 3, 17 21, 19 6, 21 4, 23 10, 25 9, 28 12, 29 12, 31 15, 34 48, 36 10, 38 9, 40 11, 42 2, 44 5, 46 7, 48 49, 51 16, 52 60, 55 14, 56 20, 58 2, 60 28, 62 2, 64 40, 66 28, 68 42, 71 4, 72 60, 74 1
T508: 1 21, 3 24, 5 9, 8 10, 9 6, 11 35, 14 7, 15 18, 17 9, 19 18, 21 1, 23 45, 25 8, 28 14, 29 40, 31 15, 34 60, 36 8, 38 5, 40 44, 42 10, 44 6, 46 1, 48 49, 51 8, 52 30, 55 14, 56 36, 58 8, 60 40, 62 4, 64 20, 66 12, 68 35, 71 4, 72 18, 74 6
T509: 1 42, 3 36, 5 30, 7 27, 10 12, 11 25, 14 8, 15 12, 17 18, 19 12, 21 9, 23 15, 25 4, 28 6, 29 36, 31 15, 34 30, 36 8, 38 3, 40 88, 42 2, 44 7, 46 2, 48 63, 51 10, 52 18, 55 16, 56 36, 58 8, 60 40, 62 6, 64 12, 66 40, 68 70, 71 28, 72 24, 74 4
T510: 1 14, 3 16, 5 15, 7 21, 9 10, 12 12, 14 3, 16 6, 17 3, 19 30, 21 8, 23 45, 25 6, 28 8, 29 4, 31 3, 34 12, 36 6, 38 4, 40 11, 42 9, 44 1, 46 9, 48 42, 51 18, 52 12, 55 12, 56 20, 58 3, 60 20, 62 10, 64 24, 66 40, 68 42, 70 8, 72 36, 74 10
T511: 1 28, 3 36, 5 30, 7 6, 9 8, 11 45, 14 1, 15 12, 17 27, 20 10, 21 2, 23 10, 25 4, 28 20, 29 28, 31 12, 34 24, 36 2, 38 6, 40 99, 42 4, 44 9, 47 24, 48 70, 51 6, 52 24, 55 6, 56 16, 58 8, 60 20, 62 1, 64 8, 66 4, 68 28, 70 20, 72 36, 74 9
T512: 1 21, 3 8, 5 18, 7 9, 9 6, 12 16, 14 6, 16 12, 17 30, 20 6, 21 6, 23 50, 25 4, 28 12, 29 4, 31 6, 34 24, 36 7, 38 5, 40 88, 42 8, 44 9, 47 27, 48 28, 51 16, 52 54, 55 8, 56 20, 58 5, 60 32, 62 9, 64 12, 66 20, 68 35, 70 12, 72 12, 74 8
T513: 1 35, 3 32, 5 9, 7 18, 9 16, 12 8, 14 6, 15 9, 17 24, 19 3, 21 9, 23 30, 25 7, 28 20, 29 8, 31 18, 34 18, 36 10, 39 20, 40 110, 42 10, 44 4, 46 8, 48 21, 51 12, 52 18, 55 10, 56 24, 58 8, 60 12, 62 4, 64 40, 66 8, 68 35, 71 16, 72 6, 74 6
T514: 1 56, 3 4, 5 15, 7 18, 9 20, 12 12, 14 7, 15 9, 17 15, 19 9, 21 5, 23 10, 25 10, 28 4, 29 12, 31 6, 34 6, 36 8, 39 18, 40 44, 42 2, 44 6, 46 8, 48 56, 51 2, 52 30, 55 6, 56 4, 58 3, 60 20, 62 8, 64 16, 66 12, 69 32, 71 32, 72 12, 74 5
T515: 1 7, 3 28, 5 12, 7 3, 9 4, 12 18, 14 10, 16 9, 18 8, 20 1, 21 10, 23 15, 25 7, 28 10, 29 16, 31 9, 34 54, 36 6, 38 1, 40 11, 42 2, 44 9, 46 2, 48 49, 50 15, 52 42, 55 18, 56 20, 58 10, 60 28, 62 7, 64 12, 66 16, 68 49, 70 2, 72 24, 74 10
T516: 1 42, 3 4, 5 12, 7 21, 9 12, 12 10, 14 2, 16 12, 18 8, 20 8, 21 8, 23 20, 25 3, 28 8, 29 20, 31 18, 34 48, 36 1, 38 6, 40 88, 42 3, 44 5, 46 2, 48 28, 50 25, 52 36, 55 2, 56 16, 58 6, 60 20, 62 2, 64 12, 66 12, 68 63, 71 32, 72 24, 74 10
T517: 1 42, 3 8, 5 27, 7 15, 9 20, 12 20, 14 1, 16 27, 18 14, 20 2, 21 7, 23 5, 25 6, 28 4, 29 12, 31 15, 34 6, 36 3, 38 5, 40 22, 42 5, 44 9, 46 8, 48 28, 51 18, 52 54, 55 6, 56 32, 58 8, 60 16, 62 1, 64 28, 66 16, 68 28, 70 12, 72 36, 74 7
T518: 1 14, 3 12, 5 30, 7 21, 9 10, 11 25, 14 2, 15 15, 17 18, 19 12, 21 3, 23 15, 25 9, 28 12, 29 20, 31 21, 34 48, 36 6, 38 8, 40 44, 42 9, 44 6, 46 9, 49 12, 50 45, 52 24, 55 10, 56 20, 58 10, 60 16, 62 3, 64 20, 66 16, 68 7, 70 6, 72 24, 74 2
T519: 1 21, 3 36, 5 24, 7 27, 9 18, 11 20, 14 2, 15 12, 17 3, 20 9, 21 7, 23 15, 25 7, 28 10, 29 28, 31 30, 34 42, 36 9, 38 5, 40 55, 42 5, 44 6, 47 27, 49 10, 50 50, 52 24, 55 6, 56 20, 58 9, 60 24, 62 8, 64 24, 66 32, 68 7, 70 2, 72 48, 74 10
T520: 1 21, 3 24, 5 3, 7 27, 9 14, 11 15, 14 3, 15 24, 17 12, 19 30, 21 5, 23 25, 25 10, 28 12, 29 28, 31 24, 34 12, 36 9, 38 3, 40 110, 42 4, 44 3, 46 3, 49 18, 51 6, 52 12, 55 20, 56 28, 58 8, 60 4, 62 10, 64 8, 66 24, 68 70, 70 4, 72 60, 74 9
T521: 1 70, 3 20, 5 9, 7 30, 9 20, 11 30, 13 4, 15 12, 17 30, 19 18, 21 1, 23 25, 26 1, 27 8, 29 24, 31 27, 34 60, 36 4, 38 2, 40 88, 42 2, 44 4, 46 7, 48 56, 50 40, 52 30, 54 1, 56 8, 58 1, 60 40, 62 2, 64 12, 66 8, 68 14, 70 8, 72 42, 74 9
T522: 1 21, 3 8, 5 9, 7 3, 9 10, 11 45, 13 5, 15 3, 17 27, 20 9, 21 7, 23 20, 26 5, 27 14, 29 4, 31 6, 34 48, 36 5, 38 2, 40 55, 42 10, 44 3, 47 18, 48 28, 50 35, 52 12, 54 1, 56 28, 58 8, 60 40, 62 7, 64 8, 66 36, 68 63, 70 8, 72 12, 74 7
T523: 1 14, 3 40, 5 18, 7 12, 9 18, 11 25, 13 7, 15 9, 17 12, 20 4, 21 6, 24 18, 26 3, 27 16, 29 24, 32 35, 34 36, 36 4, 38 6, 40 88, 42 5, 44 2, 47 24, 48 14, 50 30, 52 18, 54 5, 56 20, 58 10, 60 36, 62 5, 64 36, 66 36, 68 7, 70 16, 72 12, 74 6
T524: 1 7, 3 36, 5 30, 7 18, 9 18, 11 20, 13 10, 15 24, 17 6, 19 6, 21 4, 24 18, 26 5, 27 4, 29 8, 32 15, 34 12, 36 1, 38 9, 40 110, 42 8, 44 3, 46 3, 48 70, 50 30, 52 18, 54 4, 56 20, 58 9, 60 24, 62 4, 64 4, 66 12, 68 21, 70 8, 73 12, 74 2
T525: 1 63, 3 4, 5 30, 7 27, 9 18, 11 45, 13 1, 15 24, 17 9, 19 27, 21 10, 23 15, 26 7, 27 18, 29 36, 31 3, 34 48, 36 6, 39 10, 40 110, 42 2, 44 6, 46 2, 48 28, 50 45, 52 54, 54 1, 56 4, 58 5, 60 20, 62 4, 64 28, 66 20, 68 7, 70 2, 72 54, 74 8
T526: 1 42, 3 32, 5 3, 7 3, 9 18, 11 25, 13 4, 15 24, 17 24, 19 3, 21 5, 23 50, 26 2, 27 8, 29 36, 31 27, 34 48, 36 1, 39 6, 40 66, 42 6, 44 8, 46 10, 48 28, 50 20, 52 6, 54 9, 56 32, 58 10, 60 12, 62 2, 64 40, 66 32, 68 7, 71 28, 72 54, 74 9
T527: 1 70, 3 36, 5 24, 7 21, 9 8, 11 50, 13 2, 15 21, 17 27, 19 6, 21 6, 23 5, 26 6, 27 20, 29 28, 31 21, 34 36, 36 1, 39 8, 40 66, 42 9, 44 1, 46 1, 48 63, 51 2, 52 60, 54 7, 56 20, 58 3, 60 36, 62 9, 64 20, 66 28, 68 7, 71 28, 72 48, 74 2
T528: 1 21, 3 32, 5 12, 7 18, 9 6, 11 5, 13 5, 15 27, 17 12, 19 12, 21 1, 24 8, 26 7, 27 8, 29 12, 32 20, 34 54, 36 5, 39 20, 40 110, 42 8, 44 2, 46 4, 48 56, 50 30, 52 12, 54 7, 56 12, 58 10, 60 20, 62 4, 64 4, 66 28, 68 28, 70 10, 72 36, 74 6
T529: 1 14, 3 12, 5 30, 7 30, 9 20, 11 40, 13 6, 15 30, 17 12, 19 3, 21 8, 24 4, 26 3, 27 4, 29 32, 32 35, 34 60, 36 2, 39 14, 40 33, 42 10, 44 1, 46 1, 48 28, 50 25, 52 60, 54 9, 56 16, 58 3, 60 12, 62 7, 64 12, 66 20, 68 35, 70 18, 73 14, 74 10
T530: 1 56, 3 28, 5 6, 7 15, 9 16, 11 25, 13 2, 15 27, 17 12, 19 21, 21 4, 24 18, 26 6, 27 18, 29 40, 32 50, 34 54, 37 4, 38 1, 40 33, 42 6, 44 2, 46 2, 48 14, 50 25, 52 48, 54 6, 56 8, 58 5, 60 24, 62 3, 64 24, 66 12, 68 35, 70 6, 72 54, 74 1
T531: 1 63, 3 32, 5 24, 7 12, 9 12, 11 45, 14 7, 15 18, 17 30, 19 15, 21 8, 23 5, 26 9, 27 6, 29 40, 31 9, 34 12, 36 6, 38 9, 40 110, 42 6, 44 2, 46 1, 48 63, 50 25, 52 54, 54 4, 56 4, 58 2, 60 24, 62 4, 64 28, 66 12, 68 7, 70 10, 72 36, 74 6
T532: 1 21, 3 28, 5 21, 7 6, 9 18, 11 35, 14 7, 15 30, 17 15, 20 2, 21 3, 23 5, 26 8, 27 8, 29 4, 31 30, 34 54, 36 8, 38 7, 40 44, 42 8, 44 1, 47 27, 48 21, 50 30, 52 24, 54 2, 56 32, 58 2, 60 28, 62 9, 64 20, 66 4, 68 14, 70 18, 72 18, 74 7
T533: 1 21, 3 8, 5 18, 7 9, 9 6, 11 30, 14 6, 16 30, 17 24, 19 24, 21 5, 24 20, 26 5, 27 12, 29 20, 32 10, 34 24, 36 9, 38 7, 40 88, 42 10, 44 8, 46 6, 48 63, 50 10, 52 54, 54 5, 56 20, 58 10, 60 16, 62 2, 64 16, 66 36, 68 42, 70 6, 73 4, 74 10
T534: 1 21, 3 12, 5 24, 7 9, 9 4, 11 10, 14 1, 15 24, 17 24, 19 15, 21 4, 23 30, 26 5, 27 12, 29 8, 31 12, 34 18, 36 5, 39 10, 40 66, 42 2, 44 7, 46 9, 48 7, 50 10, 52 18, 54 3, 56 40, 58 1, 60 32, 62 2, 64 28, 66 4, 68 35, 70 20, 72 54, 74 5
T535: 1 56, 3 40, 5 18, 7 18, 9 12, 11 35, 14 1, 15 9, 17 6, 19 12, 21 7, 23 50, 26 4, 27 10, 29 16, 31 30, 34 54, 36 3, 39 2, 40 44, 42 2, 44 8, 46 1, 48 21, 50 10, 52 30, 54 9, 56 40, 58 1, 60 8, 62 3, 64 36, 66 8, 68 14, 71 36, 72 42, 74 1
T536: 1 70, 3 16, 5 3, 7 30, 9 20, 11 5, 14 10, 15 12, 17 9, 19 15, 21 5, 23 25, 26 1, 27 18, 29 32, 31 9, 34 42, 36 7, 39 8, 40 55, 42 2, 44 5, 46 7, 48 35, 51 4, 52 6, 54 6, 56 20, 58 1, 60 8, 62 2, 64 28, 66 20, 68 21, 71 40, 72 12, 74 2
T537: 1 35, 3 12, 5 18, 7 18, 9 20, 11 25, 13 6, 15 30, 17 9, 19 24, 21 7, 23 15, 26 5, 27 2, 29 20, 31 21, 34 30, 36 1, 38 3, 40 88, 42 4, 44 3, 46 1, 48 21, 50 35, 52 12, 55 20, 56 16, 58 1, 60 16, 62 10, 64 12, 66 4, 68 35, 70 4, 72 18, 74 8
T538: 1 56, 3 12, 5 15, 7 30, 9 18, 11 30, 13 2, 15 18, 17 30, 20 3, 21 4, 23 50, 26 9, 27 12, 29 16, 31 6, 34 24, 36 5, 38 4, 40 55, 42 1, 44 6, 47 12, 48 42, 50 25, 52 54, 55 4, 56 28, 58 1, 60 24, 62 6, 64 32, 66 20, 68 42, 70 20, 72 36, 74 6
T539: 1 49, 3 8, 5 21, 7 3, 9 6, 11 5, 13 5, 15 6, 17 15, 19 18, 21 10, 23 20, 26 10, 27 10, 29 8, 31 30, 34 24, 36 1, 38 9, 40 99, 42 8, 44 4, 46 5, 48 35, 51 6, 52 24, 55 18, 56 40, 58 7, 60 24, 62 2, 64 4, 66 16, 68 21, 70 6, 72 12, 74 6
T540: 1 42, 3 8, 5 21, 7 24, 9 20, 11 50, 13 6, 15 9, 17 18, 19 27, 21 2, 23 15, 26 7, 27 16, 29 8, 31 3, 34 18, 36 1, 38 10, 40 22, 42 6, 44 5, 46 3, 48 7, 51 4, 52 24, 55 16, 56 16, 58 2, 60 4, 63 4, 64 32, 66 24, 68 7, 70 4, 72 60, 74 7
T541: 1 21, 3 36, 5 27, 7 9, 9 18, 11 20, 13 3, 15 6, 17 27, 20 5, 21 8, 23 25, 26 5, 27 14, 29 4, 31 6, 34 24, 36 9, 38 8, 40 77, 42 6, 44 6, 47 12, 48 42, 51 20, 52 6, 55 6, 56 16, 58 10, 60 8, 62 8, 64 12, 66 40, 68 14, 70 18, 72 42, 74 8
T542: 1 63, 3 12, 5 27, 7 27, 9 8, 11 50, 13 10, 15 27, 17 6, 19 21, 21 3, 23 5, 26 7, 27 18, 29 36, 31 18, 34 30, 36 10, 39 20, 40 66, 42 8, 44 10, 46 4, 48 7, 50 40, 52 48, 55 16, 56 32, 58 3, 60 16, 62 4, 64 8, 66 4, 68 42, 70 2, 72 18, 74 5
T543: 1 7, 3 20, 5 15, 7 6, 9 8, 11 50, 13 4, 15 9, 17 24, 20 6, 21 10, 23 45, 26 7, 27 4, 29 16, 31 18, 34 36, 36 4, 39 12, 40 55, 42 10, 44 7, 47 24, 48 49, 50 45, 52 24, 55 18, 56 20, 58 10, 60 12, 62 10, 64 8, 66 20, 68 7, 70 6, 72 54, 74 1
T544: 1 28, 3 32, 5 24, 7 9, 9 4, 11 40, 14 7, 15 21, 17 3, 19 18, 21 9, 23 45, 26 6, 27 6, 29 40, 31 3, 34 30, 36 9, 38 6, 40 11, 42 6, 44 1, 46 8, 48 7, 50 35, 52 30, 55 14, 56 36, 58 7, 60 16, 62 1, 64 4, 66 4, 68 49, 70 12, 72 54, 74 2
T545: 1 14, 3 36, 5 21, 7 12, 9 8, 11 45, 14 9, 15 18, 17 3, 20 3, 21 4, 23 40, 26 6, 27 20, 29 8, 31 30, 34 12, 36 5, 38 2, 40 110, 42 10, 44 6, 47 24, 48 63, 50 45, 52 60, 55 12, 56 32, 58 8, 60 28, 62 6, 64 28, 66 16, 68 42, 70 6, 72 6, 74 7
T546: 1 21, 3 20, 5 21, 7 18, 9 14, 11 45, 14 7, 15 6, 17 27, 19 15, 21 2, 23 20, 26 7, 27 4, 29 20, 31 9, 34 18, 36 6, 38 3, 40 44, 42 10, 44 4, 46 4, 48 7, 51 16, 52 42, 55 20, 56 16, 58 10, 60 4, 62 9, 64 12, 66 36, 68 21, 70 20, 72 6, 74 9
T547: 1 21, 3 20, 5 12, 7 6, 9 4, 11 45, 14 9, 15 9, 17 21, 19 12, 21 3, 23 15, 26 7, 27 10, 29 32, 31 24, 34 36, 36 3, 39 2, 40 11, 42 5, 44 9, 46 2, 48 70, 50 35, 52 42, 55 20, 56 20, 58 4, 60 40, 62 4, 64 24, 66 12, 68 49, 70 20, 72 30, 74 1
T548: 1 49, 3 4, 5 9, 7 18, 9 20, 11 45, 13 8, 15 30, 17 18, 19 3, 21 2, 23 25, 26 2, 28 10, 29 32, 31 24, 34 42, 36 8, 38 1, 40 22, 42 1, 44 1, 46 1, 48 42, 50 45, 52 36, 54 9, 56 12, 58 6, 60 20, 62 10, 64 20, 66 8, 68 63, 70 16, 72 54, 74 6
T549: 1 42, 3 32, 5 3, 7 6, 9 20, 11 5, 13 7, 15 24, 17 30, 20 9, 21 2, 23 25, 26 10, 28 10, 29 16, 31 18, 34 42, 36 1, 38 7, 40 77, 42 3, 44 9, 47 27, 48 70, 50 45, 52 42, 54 5, 56 24, 58 10, 60 20, 62 10, 64 32, 66 24, 68 70, 70 10, 72 54, 74 5
T550: 1 28, 3 4, 5 3, 7 21, 9 20, 11 25, 13 9, 15 3, 17 27, 19 9, 21 7, 23 35, 26 9, 28 8, 29 8, 31 6, 34 12, 36 2, 38 7, 40 77, 42 6, 44 9, 46 6, 48 70, 51 2, 52 54, 54 5, 56 16, 58 10, 60 12, 62 10, 64 36, 66 8, 68 35, 70 12, 72 30, 74 1
T551: 1 14, 3 20, 5 9, 7 30, 9 2, 11 30, 14 4, 15 12, 17 30, 19 15, 21 5, 23 35, 26 3, 28 16, 29 4, 31 30, 34 30, 36 8, 38 10, 40 99, 42 7, 44 4, 46 10, 48 42, 50 35, 52 6, 54 6, 56 16, 58 8, 60 8, 62 9, 64 16, 66 8, 68 49, 70 18, 72 6, 74 5
T552: 1 56, 3 20, 5 12, 7 21, 9 18, 11 15, 14 3, 15 30, 17 18, 20 2, 21 9, 23 50, 26 8, 28 16, 29 20, 31 9, 34 36, 36 9, 38 2, 40 55, 42 8, 44 10, 47 30, 48 7, 50 5, 52 60, 54 8, 56 4, 58 3, 60 40, 62 9, 64 8, 66 24, 68 63, 70 6, 72 18, 74 7
T553: 1 14, 3 16, 5 24, 7 18, 9 12, 11 45, 14 2, 15 3, 17 15, 19 24, 21 6, 23 5, 26 9, 28 20, 29 20, 31 9, 34 30, 36 5, 38 4, 40 66, 42 7, 44 3, 46 9, 48 56, 51 16, 52 6, 54 9, 56 28, 58 5, 60 40, 62 7, 64 12, 66 16, 68 70, 70 16, 72 30, 74 5
T554: 1 70, 3 20, 5 3, 7 15, 9 18, 11 15, 13 9, 15 27, 17 30, 19 6, 21 3, 23 15, 26 4, 28 6, 29 8, 31 24, 34 18, 36 8, 38 8, 40 110, 42 10, 44 8, 46 5, 48 28, 50 20, 52 54, 55 2, 56 20, 58 4, 60 16, 62 5, 64 16, 66 32, 68 28, 70 20, 72 18, 74 5
T555: 1 28, 3 16, 5 30, 7 24, 9 20, 11 45, 13 8, 15 30, 17 21, 20 3, 21 7, 23 20, 26 7, 28 8, 29 4, 31 30, 34 18, 36 2, 38 2, 40 33, 42 9, 44 5, 47 27, 48 42, 50 40, 52 42, 55 16, 56 12, 58 4, 60 20, 62 1, 64 28, 66 16, 68 49, 70 6, 72 54, 74 5
T556: 1 28, 3 40, 5 24, 7 9, 9 4, 11 5, 13 5, 15 3, 17 18, 19 9, 21 2, 23 25, 26 4, 28 16, 29 32, 31 6, 34 18, 36 4, 38 7, 40 33, 42 9, 44 2, 46 5, 48 49, 51 12, 52 30, 55 12, 56 12, 58 6, 60 36, 62 1, 64 28, 66 8, 68 63, 70 12, 72 42, 74 6
T557: 1 56, 3 8, 5 6, 7 24, 9 12, 11 15, 14 9, 15 12, 17 12, 19 9, 21 1, 23 40, 26 10, 28 8, 29 24, 31 24, 34 30, 36 9, 38 5, 40 55, 42 9, 44 10, 46 10, 48 21, 50 45, 52 36, 55 16, 56 28, 58 7, 60 12, 62 2, 64 32, 66 32, 68 63, 70 14, 72 54, 74 10
T558: 1 63, 3 16, 5 18, 7 27, 9 20, 11 30, 14 9, 15 30, 17 21, 20 7, 21 1, 23 10, 26 7, 28 16, 29 4, 31 21, 34 24, 36 2, 38 3, 40 88, 42 4, 44 6, 47 9, 48 70, 50 10, 52 42, 55 12, 56 36, 58 2, 60 40, 62 7, 64 12, 66 28, 68 70, 70 4, 72 18, 74 5
T559: 1 21, 3 32, 5 12, 7 21, 9 20, 11 30, 14 8, 15 21, 17 15, 19 12, 21 1, 23 45, 26 9, 28 14, 29 20, 31 15, 34 18, 36 9, 38 1, 40 110, 42 8, 44 1, 46 4, 48 21, 51 2, 52 60, 55 6, 56 20, 58 7, 60 36, 62 3, 64 4, 66 16, 68 7, 70 6, 72 36, 74 6
T560: 1 7, 3 36, 5 12, 7 9, 9 20, 11 5, 13 1, 15 30, 17 24, 19 27, 21 4, 23 50, 25 2, 27 16, 29 16, 31 3, 34 36, 36 5, 38 9, 40 33, 42 8, 44 8, 46 5, 48 42, 50 20, 52 12, 54 8, 56 24, 58 10, 60 20, 62 6, 64 32, 66 8, 68 35, 70 6, 72 24, 75 27
T561: 1 21, 3 28, 5 15, 7 21, 9 10, 12 18, 13 6, 16 15, 17 18, 19 24, 21 9, 23 5, 25 4, 27 6, 29 40, 31 9, 34 36, 36 4, 38 7, 40 22, 42 9, 44 8, 46 4, 48 21, 50 50, 52 12, 54 4, 56 20, 58 3, 60 16, 62 9, 64 8, 66 40, 68 21, 70 12, 72 24, 75 30
T562: 1 42, 3 16, 5 24, 7 27, 9 6, 11 35, 13 9, 15 18, 17 27, 19 27, 21 4, 23 5, 25 1, 27 18, 29 16, 31 9, 34 6, 36 2, 38 3, 40 77, 42 7, 44 3, 46 8, 48 14, 51 4, 52 48, 54 10, 56 32, 58 3, 60 28, 62 7, 64 32, 66 20, 68 63, 70 6, 72 60, 75 18
T563: 1 21, 3 8, 5 18, 7 24, 9 12, 11 50, 13 4, 15 12, 17 27, 19 12, 21 9, 23 15, 25 7, 27 8, 29 32, 31 27, 34 24, 36 7, 38 1, 40 77, 42 1, 44 10, 46 8, 48 28, 51 4, 52 6, 54 4, 56 16, 58 10, 60 16, 63 2, 64 8, 66 40, 68 7, 70 18, 72 42, 75 27
T564: 1 21, 3 20, 5 12, 7 3, 9 10, 11 40, 13 7, 15 3, 17 12, 19 30, 21 5, 23 5, 25 2, 27 8, 29 8, 31 27, 34 12, 36 6, 39 14, 40 55, 42 5, 44 10, 46 8, 48 35, 50 25, 52 42, 54 8, 56 36, 58 7, 60 8, 62 2, 64 4, 66 20, 68 35, 70 16, 72 12, 75 15
T565: 1 63, 3 36, 5 24, 7 24, 9 16, 11 30, 13 3, 15 15, 17 6, 19 27, 21 4, 23 10, 25 10, 27 16, 29 20, 31 30, 34 30, 36 7, 39 18, 40 33, 42 5, 44 2, 46 6, 48 63, 50 50, 52 60, 54 1, 56 32, 58 2, 60 28, 62 2, 64 12, 66 20, 68 35, 71 4, 72 60, 75 18
T566: 1 35, 3 16, 6 32, 7 15, 9 6, 11 5, 13 10, 15 9, 17 9, 19 27, 21 1, 23 15, 25 9, 27 4, 29 20, 31 21, 34 18, 36 3, 39 12, 40 44, 42 10, 44 9, 46 4, 48 35, 50 20, 52 48, 54 6, 56 20, 58 5, 60 8, 62 6, 64 40, 66 4, 68 56, 71 28, 72 42, 75 3
T567: 1 14, 3 12, 5 3, 7 12, 9 18, 12 8, 13 7, 16 30, 17 6, 19 6, 21 9, 23 45, 25 1, 27 4, 29 20, 31 24, 34 6, 36 10, 39 16, 40 44, 42 5, 44 2, 46 4, 48 63, 50 30, 52 18, 54 4, 56 12, 58 7, 60 8, 62 5, 64 12, 66 36, 68 14, 71 20, 72 12, 75 27
T568: 1 70, 3 32, 5 12, 7 30, 9 16, 11 25, 13 4, 15 3, 17 12, 19 18, 21 2, 23 30, 25 4, 27 18, 29 20, 31 21, 34 48, 36 5, 39 10, 40 99, 42 10, 44 2, 46 3, 48 21, 50 45, 52 6, 54 7, 56 20, 58 4, 60 40, 62 4, 64 36, 66 16, 69 8, 71 40, 72 12, 75 9
T569: 1 7, 3 40, 5 3, 7 15, 9 2, 11 40, 13 10, 15 12, 17 18, 19 30, 21 4, 23 15, 25 5, 27 10, 29 28, 31 18, 34 48, 36 10, 39 4, 40 66, 42 3, 44 10, 46 3, 48 21, 51 4, 52 24, 54 7, 56 24, 58 9, 60 16, 62 5, 64 20, 66 28, 68 35, 70 6, 72 6, 75 27
T570: 1 42, 3 16, 5 21, 7 21, 9 6, 11 35, 13 6, 15 6, 17 6, 19 27, 21 7, 23 10, 25 1, 27 2, 29 4, 31 12, 34 30, 36 5, 39 18, 40 33, 42 2, 44 3, 46 7, 48 7, 51 12, 52 24, 54 3, 56 12, 58 2, 60 24, 62 2, 64 16, 66 12, 68 28, 71 20, 72 18, 75 18
T571: 1 35, 3 20, 5 21, 7 18, 9 4, 11 20, 13 8, 15 21, 17 9, 19 27, 21 5, 23 10, 25 3, 27 8, 29 28, 31 12, 34 12, 36 2, 39 16, 40 66, 42 9, 44 10, 46 9, 48 35, 51 10, 52 42, 54 1, 56 36, 58 4, 60 4, 63 16, 64 4, 66 24, 68 7, 71 40, 72 18, 75 12
T572: 1 21, 3 32, 5 27, 7 12, 9 4, 11 25, 13 4, 15 12, 17 24, 19 12, 21 5, 23 25, 25 7, 27 2, 29 24, 31 6, 34 30, 36 3, 39 14, 40 33, 42 2, 44 2, 46 4, 48 7, 51 18, 52 36, 54 10, 56 4, 58 5, 60 16, 62 4, 64 36, 66 12, 69 56, 71 4, 72 48, 75 24
T573: 1 63, 3 32, 5 18, 7 30, 9 12, 12 12, 13 2, 16 27, 18 2, 20 6, 21 1, 23 50, 25 10, 27 10, 29 8, 31 21, 34 24, 36 4, 38 4, 40 33, 42 3, 44 1, 46 10, 48 21, 50 35, 52 18, 54 2, 56 24, 58 10, 60 8, 62 5, 64 32, 66 28, 68 70, 70 6, 72 12, 75 15
T574: 1 35, 3 36, 5 3, 7 21, 9 2, 12 2, 13 5, 16 27, 18 20, 20 10, 21 8, 23 20, 25 10, 27 14, 29 24, 31 18, 34 54, 36 10, 39 12, 40 66, 42 3, 44 5, 46 6, 48 49, 50 45, 52 18, 54 3, 56 20, 58 5, 60 24, 62 10, 64 8, 66 40, 68 70, 71 28, 72 12, 75 27
T575: 1 63, 3 32, 5 6, 7 12, 9 20, 11 40, 14 7, 15 6, 17 6, 19 21, 21 3, 23 45, 25 2, 27 14, 29 40, 31 6, 34 30, 36 8, 38 3, 40 55, 42 6, 44 6, 46 10, 48 49, 50 30, 52 18, 54 4, 56 32, 58 3, 60 24, 62 10, 64 32, 66 36, 68 28, 70 4, 72 24, 75 3
T576: 1 42, 3 12, 5 27, 7 18, 9 2, 11 50, 14 7, 15 12, 17 24, 19 24, 21 2, 23 40, 25 4, 27 20, 29 20, 31 9, 34 18, 36 8, 38 9, 40 99, 42 6, 44 3, 46 7, 48 14, 50 45, 52 24, 54 4, 56 4, 58 9, 60 28, 62 10, 64 40, 66 12, 68 28, 71 32, 72 30, 75 21
T577: 1 7, 3 4, 5 21, 7 18, 9 18, 11 35, 14 6, 16 18, 17 24, 19 24, 21 9, 23 5, 25 9, 27 8, 29 28, 31 15, 34 24, 36 8, 38 8, 40 110, 42 4, 44 9, 46 3, 48 63, 50 45, 52 24, 54 5, 56 20, 58 1, 60 32, 62 1, 64 40, 66 16, 68 42, 71 12, 72 12, 75 6
